1 NAME|2 ROOM|3 IP|4 OS|5 OS version|6 CATEGORY|7 OWNER|8 AUTHORITY|9 BARCODE|10 DESCRIPTION|11 SPARE1|12 SERIAL NUMBER|13 HOSTID|14 HOST STATUS|15 INVENTORY STATUS|16 FIREWALL|17 TRUSTLEVEL|18 RACKINFO|19 POWER UP|20 SUPPORT TEAM|21 UUID|22 COMMENTS
ug18|CSC159|129.128.29.48|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726391|Lenovo M920 TWR CTO||MJ090PQN||CLEAN|active||||5|WPS|650cfb1e-7628-4a25-91e9-52531e2e74dd|Ugrad new 2019-07
ug19|CSC159|129.128.29.49|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726392|Lenovo M920 TWR CTO||MJ090PS2||CLEAN|active||||5|WPS|3afcbf5e-fc5d-472f-a42d-8be27ac2d0ca|Ugrad new 2019-07
ug20|CSC159|129.128.29.50|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726393|Lenovo M920 TWR CTO||MJ090PWF||CLEAN|active||||5|WPS|921b1616-4e2a-4fad-86f1-428d2de3588e|Ugrad new 2019-07
ug21|CSC159|129.128.29.51|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726394|Lenovo M920 TWR CTO||MJ090PWQ||CLEAN|active||||5|WPS|834977eb-8635-408d-a352-b09be54c2b87|Ugrad new 2019-07
ug22|CSC159|129.128.29.52|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726395|Lenovo M920 TWR CTO||MJ090PRZ||CLEAN|active||||5|WPS|a45c5264-bc54-456e-af15-bb902bda2354|Ugrad new 2019-07
ug23|CSC159|129.128.29.53|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726396|Lenovo M920 TWR CTO||MJ090PS4||CLEAN|active||||5|WPS|a1d96a86-0a79-4a42-b611-81c51dc40713|Ugrad new 2019-07
ug24|CSC159|129.128.29.54|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726397|Lenovo M920 TWR CTO||MJ090PS9||CLEAN|active||||5|WPS|224227df-4bca-447b-a4a9-4d1377a7c647|Ugrad new 2019-07
ug25|CSC159|129.128.29.55|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726398|Lenovo M920 TWR CTO||MJ090PRM||CLEAN|active||||5|WPS|a1031d5a-c797-454e-b841-d749474dbcf9|Ugrad new 2019-07
ug26|CSC159|129.128.29.56|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726399|Lenovo M920 TWR CTO||MJ090PSK||CLEAN|active||||5|WPS|3156df58-c02f-4298-a104-30b09a178183|Ugrad new 2019-07
ug27|CSC159|129.128.29.57|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726400|Lenovo M920 TWR CTO||MJ090PSL||CLEAN|active||||5|WPS|49d9d8da-245e-4f9b-9357-a4ab4bd92b5a|Ugrad new 2019-07
ug28|CSC159|129.128.29.58|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726401|Lenovo M920 TWR CTO||MJ090PRX||CLEAN|active||||5|WPS|4cea4397-0f3e-4ac4-b8f0-5a17c00855c6|Ugrad new 2019-07
ug29|CSC159|129.128.29.59|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726402|Lenovo M920 TWR CTO||MJ090PSM||CLEAN|active||||5|WPS|e4ac868e-b7b5-4f68-aff2-aa970e848e8d|Ugrad new 2019-07
ug30|CSC159|129.128.29.60|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726403|Lenovo M920 TWR CTO||MJ090PVN||CLEAN|active||||5|WPS|fed1dacd-4810-42d0-81fb-43a10d8cf2bc|Ugrad new 2019-07
ug31|CSC159|129.128.29.61|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726404|Lenovo M920 TWR CTO||MJ090PRH||CLEAN|active||||5|WPS|e50d7b9b-8832-4d02-a501-2f4141823c58|Ugrad new 2019-07
ug32|CSC159|129.128.29.62|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726405|Lenovo M920 TWR CTO||MJ090PSA||CLEAN|active||||5|WPS|309eb942-5654-4408-aae9-3bcf2bc7b36d|Ugrad new 2019-07
ug33|CSC159|129.128.29.63|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726406|Lenovo M920 TWR CTO||MJ090PTP||CLEAN|active||||5|WPS|f8e49ed7-9f33-42c4-b551-de5ae0825e44|Ugrad new 2019-07
ug34|CSC159|129.128.29.64|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726407|Lenovo M920 TWR CTO||MJ090PWS||CLEAN|active||||5|WPS|7619e48f-9e8a-4d15-99fc-ea2edd693219|Ugrad new 2019-07
ugfw1|CSC139|129.128.31.57|OpenBSD|4.5|regular|dept|tst|497678|Dell PE850 Celeron D 80547@2.66GHz-512||80YQN91||CLEAN|retired||T|B|5||b52a97ce-78f3-46b7-8977-2a5b4e525ec0|TST managed server
ugfw2|CSC139|129.128.31.58|OpenBSD|4.5|regular|dept|tst|497679|Dell PE850 Celeron D 80547@2.66GHz-512||||CLEAN|retired||T|B|5||c49ee468-7597-4fae-9bc8-f3a200630cc7|TST managed server
ugweb|webdocs|129.128.243.190|Linux|OS VERSION|alias|OWNER|AUTHORITY|NA|DESCRIPTION||SERIAL NUMBER|HOSTID||ipalias||||5|SA1|cf1923e3-d26c-4594-81ce-8f419d03920f|COMMENTS
ui00|CSC219|129.128.41.30|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726408|Lenovo M920 TWR CTO||MJ090PQ9||CLEAN|active||||5|WPS|dc166b0d-405d-4e59-81de-06c910d00466|Ugrad new 2019-07
ui01|CSC219|129.128.41.31|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726409|Lenovo M920 TWR CTO||MJ090PRJ||CLEAN|active||||5|WPS|93390b78-bd1a-4d5f-9ec8-7ee04fd95fc9|Ugrad new 2019-07
ui02|CSC219|129.128.41.32|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726410|Lenovo M920 TWR CTO||MJ090PQQ||CLEAN|active||||5|WPS|54eeb678-1807-4868-aad2-109d0c232fe7|Ugrad new 2019-07
ui03|CSC219|129.128.41.33|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726411|Lenovo M920 TWR CTO||MJ090PQL||CLEAN|active||||5|WPS|acd9daee-db38-4dde-a2bb-d641eba85cfb|Ugrad new 2019-07
ui04|CSC219|129.128.41.34|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726412|Lenovo M920 TWR CTO||MJ090PV4||CLEAN|active||||5|WPS|a463675d-6e0c-4c95-b160-56542c0b1b63|Ugrad new 2019-07
ui05|CSC219|129.128.41.35|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726413|Lenovo M920 TWR CTO||MJ090PVK||CLEAN|active||||5|WPS|ec22f00d-cefc-4584-9c61-352374e51a8a|Ugrad new 2019-07
ui06|CSC219|129.128.41.36|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726414|Lenovo M920 TWR CTO||MJ090PS6||CLEAN|active||||5|WPS|bba7e4ad-3314-4efb-b9d0-8a0745e3e36a|Ugrad new 2019-07
ui07|CSC219|129.128.41.37|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726415|Lenovo M920 TWR CTO||MJ090PVA||CLEAN|active||||5|WPS|3cfc5864-4e36-4617-8e75-e1de67d3b521|Ugrad new 2019-07
ui08|CSC219|129.128.41.38|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726416|Lenovo M920 TWR CTO||MJ090PTY||CLEAN|active||||5|WPS|28b2a65a-1e5d-47c5-98ec-dab9d3641cfb|Ugrad new 2019-07
ui09|CSC219|129.128.41.39|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726417|Lenovo M920 TWR CTO||MJ090PTZ||CLEAN|active||||5|WPS|abd4e9ba-cfe3-47f1-8afe-6cef8b7463f7|Ugrad new 2019-07
ui10|CSC219|129.128.41.40|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726418|Lenovo M920 TWR CTO||MJ090PQR||CLEAN|active||||5|WPS|d3256e19-11e6-45fb-94a4-118bb149c248|Ugrad new 2019-07
ui11|CSC219|129.128.41.41|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726419|Lenovo M920 TWR CTO||MJ090PW4||CLEAN|active||||5|WPS|2356402e-9bed-4175-8d2e-19c73be1a9ab|Ugrad new 2019-07
ui12|CSC219|129.128.41.42|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726420|Lenovo M920 TWR CTO||MJ090PWA||CLEAN|active||||5|WPS|b125e189-abf9-4811-aad1-2a93a68c6984|Ugrad new 2019-07
ui13|CSC219|129.128.41.43|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726421|Lenovo M920 TWR CTO||MJ090PV5||CLEAN|active||||5|WPS|7f322371-ff72-41d6-af7d-5c5a3e93ef5e|Ugrad new 2019-07
ui14|CSC219|129.128.41.44|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726422|Lenovo M920 TWR CTO||MJ090PWT||CLEAN|active||||5|WPS|77c50aab-e40c-43c1-af00-a00e4f152d11|Ugrad new 2019-07
ui15|CSC219|129.128.41.45|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726423|Lenovo M920 TWR CTO||MJ090PVB||CLEAN|active||||5|WPS|ec0fbf30-5585-4b0e-b094-fc5db4eafe59|Ugrad new 2019-07
ui16|CSC219|129.128.41.46|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726424|Lenovo M920 TWR CTO||MJ090PT4||CLEAN|active||||5|WPS|de6da26f-5ccc-4c91-a736-98de2cddcb7c|Ugrad new 2019-07
ui17|CSC219|129.128.41.47|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726425|Lenovo M920 TWR CTO||MJ090PV2||CLEAN|active||||5|WPS|9063f3ca-9a7a-4187-b0ab-1604c9cbfd51|Ugrad new 2019-07
ui18|CSC219|129.128.41.48|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726426|Lenovo M920 TWR CTO||MJ090PV8||CLEAN|active||||5|WPS|1d28459f-f948-43db-9dfb-318b2bbf4a2b|Ugrad new 2019-07
ui19|CSC219|129.128.41.49|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726427|Lenovo M920 TWR CTO||MJ090PSY||CLEAN|active||||5|WPS|b064c82d-86a5-4dca-ad5b-4e8cd5b9579a|Ugrad new 2019-07
ui20|CSC219|129.128.41.50|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726428|Lenovo M920 TWR CTO||MJ090PTT||CLEAN|active||||5|WPS|f3257a50-104a-4a13-bb04-67b8a76d0e20|Ugrad new 2019-07
ui21|CSC219|129.128.41.51|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726429|Lenovo M920 TWR CTO||MJ090PTQ||CLEAN|active||||5|WPS|a00e6c34-6f77-4e77-8d54-901466364092|Ugrad new 2019-07
ui22|CSC219|129.128.41.52|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726430|Lenovo M920 TWR CTO||MJ090PSW||CLEAN|active||||5|WPS|92264e7c-1b96-460a-9ffc-ca4a08a15aac|Ugrad new 2019-07
uk01|CSC229|129.128.41.91|Linux|WPS Ubuntu 16.04|regular|dept|tst|512124|Dell OptiPlex 745||1K6TCP1||CLEAN|retired||||5|WPS|8d1ceb07-074b-440a-91f1-2ad9e0f04029|UGrad
uk02|CSC229|129.128.41.92|Linux|WPS Ubuntu 16.04|regular|dept|tst|512125|Dell OptiPlex 745||DJ6TCP1||CLEAN|retired||||5|WPS|404c8231-fde6-4142-a630-98870ac0954b|UGrad
uk03|CSC229|129.128.41.93|Linux|WPS Ubuntu 16.04|regular|dept|tst|512140|Dell OptiPlex 745||5J6TPC1||CLEAN|retired||||5|WPS|bf029497-111f-4559-a476-f1c4db9d5c99|UGrad
uk04|CSC229|129.128.41.94|Linux|WPS Ubuntu 16.04|regular|dept|tst|512145|Dell OptiPlex 745||DK6TCP1||CLEAN|retired||||5|WPS|f00ea501-82b2-4cdb-a4ba-b96a2ff186fb|UGrad
uk05|CSC229|129.128.41.95|Linux|WPS Ubuntu 16.04|regular|dept|tst|512146|Dell OptiPlex 745||1M6TCP1||CLEAN|retired||||5|WPS|68dfa039-0d25-4c78-9a0b-568037bb20b0|UGrad
uk06|CSC229|129.128.41.96|Linux|WPS Ubuntu 16.04|regular|dept|tst|512196|Dell OptiPlex 745||DF0WSC1||CLEAN|retired||||5|WPS|5a90b2eb-2cab-40d9-90f2-63ab11b81893|UGrad
ultratrak||129.128.25.107||||||||||||missing||||5||d4e032ec-2bdf-48ac-bc82-02325a195cfb|last seen in CSC363A
um00|CAB311|129.128.119.66|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726431|Lenovo M920 TWR CTO||MJ090PST||CLEAN|active||||5|WPS|08feca86-d79a-454b-8c1c-da5f29eca53f|Ugrad new 2019-07
um01|CAB311|129.128.119.67|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726431|Lenovo M920 TWR CTO||MJ090PSB||CLEAN|active||||5|WPS|df6200af-45b2-4ad6-ac7d-d317b73da6d4|Ugrad new 2019-07
um02|CAB311|129.128.119.68|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726431|Lenovo M920 TWR CTO||MJ090PT8||CLEAN|active||||5|WPS|e3b61f92-345c-4057-81be-c95866ce3fa5|Ugrad new 2019-07
um03|CAB311|129.128.119.69|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726431|Lenovo M920 TWR CTO||MJ090PT0||CLEAN|active||||5|WPS|fbe0ca9f-cedb-41cd-80cd-756759981d3b|Ugrad new 2019-07
um04|CAB311|129.128.119.70|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726431|Lenovo M920 TWR CTO||MJ090PWR||CLEAN|active||||5|WPS|46c4ef55-4507-453f-abcb-c6e22168afcb|Ugrad new 2019-07
um05|CAB311|129.128.119.71|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726431|Lenovo M920 TWR CTO||MJ090PWK||CLEAN|active||||5|WPS|be4a4be0-4e4d-4d10-8085-12020ad0fa09|Ugrad new 2019-07
um06|CAB311|129.128.119.72|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726431|Lenovo M920 TWR CTO||MJ090PQH||CLEAN|active||||5|WPS|6bb4bd53-53ec-42da-a88e-4afa4db86c4d|Ugrad new 2019-07
um07|CAB311|129.128.119.73|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726431|Lenovo M920 TWR CTO||MJ090PTV||CLEAN|active||||5|WPS|957f88fe-5758-48eb-9a8a-5ea263e9b9fa|Ugrad new 2019-07
um08|CAB311|129.128.119.74|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726431|Lenovo M920 TWR CTO||MJ090PVC||CLEAN|active||||5|WPS|89bfbb29-9bad-41d0-a7f3-6e245dca4eea|Ugrad new 2019-07
um09|CAB311|129.128.119.75|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726431|Lenovo M920 TWR CTO||MJ090PTS||CLEAN|active||||5|WPS|fd9e9c3b-0bb2-48c5-9655-e8e76916cbd9|Ugrad new 2019-07
um10|CAB311|129.128.119.76|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726431|Lenovo M920 TWR CTO||MJ090PQD||CLEAN|active||||5|WPS|fd8fd9f2-e58f-4e12-a2f7-a781b03a8b11|Ugrad new 2019-07
um11|CAB311|129.128.119.77|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726431|Lenovo M920 TWR CTO||MJ090PWD||CLEAN|active||||5|WPS|ed924890-9a6c-4658-bb51-daafb22595dd|Ugrad new 2019-07
um12|CAB311|129.128.119.78|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726431|Lenovo M920 TWR CTO||MJ090PWB||CLEAN|active||||5|WPS|13fb0bc0-c662-45c8-b140-827aa1ef26b0|Ugrad new 2019-07
um13|CAB311|129.128.119.79|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726431|Lenovo M920 TWR CTO||MJ090PTN||CLEAN|active||||5|WPS|2a00e2bf-4586-4de5-92bb-35680ecfa213|Ugrad new 2019-07
um14|CAB311|129.128.119.80|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726431|Lenovo M920 TWR CTO||MJ090PR2||CLEAN|active||||5|WPS|d35c64db-0177-43cc-bc53-05329ce36e06|Ugrad new 2019-07
um15|CAB311|129.128.119.81|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726431|Lenovo M920 TWR CTO||MJ090PVZ||CLEAN|active||||5|WPS|cc58ac04-ea2f-4d6a-852b-065e8aae77a0|Ugrad new 2019-07
um16|CAB311|129.128.119.82|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726431|Lenovo M920 TWR CTO||MJ090PW5||CLEAN|active||||5|WPS|7a1ad2a0-bd81-48a5-a085-65b64a1ad877|Ugrad new 2019-07
um17|CAB311|129.128.119.83|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726431|Lenovo M920 TWR CTO||MJ090PW8||CLEAN|active||||5|WPS|e418457b-2425-4fe6-88ec-545c0a6035f7|Ugrad new 2019-07
um18|CAB311|129.128.119.84|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726431|Lenovo M920 TWR CTO||MJ090PVE||CLEAN|active||||5|WPS|56ba6cbf-6c97-4654-a57e-6862e221f021|Ugrad new 2019-07
um19|CAB311|129.128.119.85|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726431|Lenovo M920 TWR CTO||MJ090PWV||CLEAN|active||||5|WPS|2b176d54-f2d4-402b-b2ec-f777dfef4591|Ugrad new 2019-07
um20|CAB311|129.128.119.86|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726431|Lenovo M920 TWR CTO||MJ090PTW||CLEAN|active||||5|WPS|7d46e6ac-a983-4a93-aa87-e925daa39e95|Ugrad new 2019-07
um21|CAB311|129.128.119.87|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726431|Lenovo M920 TWR CTO||MJ090PVM||CLEAN|active||||5|WPS|3ddea4d2-39dd-4f35-8369-c1e8d0ebb562|Ugrad new 2019-07
um22|CAB311|129.128.119.88|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726431|Lenovo M920 TWR CTO||MJ090PW0||CLEAN|active||||5|WPS|300d7e38-fd8a-43f1-a845-161b0bad76cc|Ugrad new 2019-07
um23|CAB311|129.128.119.89|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726431|Lenovo M920 TWR CTO||MJ090PV7||CLEAN|active||||5|WPS|94eaaa67-cde3-4326-bac7-ef06a7bc9a40|Ugrad new 2019-07
um24|CAB311|129.128.119.90|Linux|WPS Ubuntu 16.04|regular|dept|WPS|726431|Lenovo M920 TWR CTO||MJ090PSQ||CLEAN|active||||5|WPS|af547f21-b867-457e-b97f-73d492cc7b74|Ugrad new 2019-07
unis-master|IST VM|129.128.21.31|Linux|Ubuntu 16.04|virtual|||NA|VM|||||active||||5|SA1|70b5c1a9-fbcf-4cc9-9eb6-11bccfed1948|
unis-slave|IST VM|129.128.21.32|Linux|Ubuntu 16.04|virtual|||NA|VM|||||active||||5|SA1|8b535f87-0dab-4592-8ca2-d0a0ddf14a7e|
uofa-jay|ATH211|129.128.23.175|Windows|7|regular|zaiane|hasell||||||CLEAN|active||||5||706b51b1-8183-4be7-8893-b9d4a8642591|
usona1|CSC363?|129.128.25.181|Windows|XP Pro 5.1.2600|regular||pierreb|457529|HP-P4/2.4G-4096||6Y33KZKZ600E||NOP|retired||||5||4c831775-b95e-4778-89ca-2344e907a7a7|historical record
usona2|CSC363?|129.128.25.182|Windows|XP Pro 5.1.2600|regular||pierreb|457530|HP-P4/2.4G-4096||6Y33KZKZ6???||NOP|retired||||5||015a3723-c3ff-457e-b617-d4e8246e5964|historical record
usona3|CSC363?|129.128.25.183|Windows|XP Pro 5.1.2600|regular||pierreb|457528|HP-P4/2.4G-4096||6Y33KZKZ6???||NOP|retired||||5||a5e93bed-d057-4aaf-b6bf-762eaef31f90|historical record
usona4|CSC363?|129.128.25.184|Windows|XP Pro 5.1.2600|regular||pierreb|457527|HP-P4/2.4G-4096||6Y33KZKZ6???||NOP|retired||||5||fa6df3b2-5cd2-495e-9a72-2e27f1f06cc4|historical record
usona5|CSC363?|129.128.25.185|Linux|Scientific 4.4 (Beryllium)|regular||pierreb|457526|HP-P4/2.4G-4096||6Y33KZKZ6???||NOP|retired||||5||b92ade7c-f58c-419b-ba0c-5b7fd5a876a1|historical record
usona6|CSC147|129.128.25.186|Windows|XP Pro 5.1.2600|regular|idanis|pierreb|457525|HP-P4/2.4G-4096||6Y33KZKZ600H???||CLEAN|retired|OK|||5||01a81ffe-09d5-47c9-b2e0-441f8abf1066|historical record
usona7|CSC359|129.128.25.173|Windows|XP Pro|regular||wfb,pierreb|482841|Opteron/250D-4096||ACS05105||CLEAN|retired|OK|||5||52a2e505-1b3b-493a-a73c-89d54a402e56|historical record
usona8|CSC359|129.128.25.117|Windows|XP Pro|regular||wfb,pierreb|484840|Opteron/250D-4096||ACS05104||CLEAN|retired|OK|||5||ca6d2e10-11b2-4b1f-898d-22bd8cde4ced|historical record
usona9|CSC363?|129.128.25.216|Linux|Ubuntu 10.04 LTS|regular||pierreb||Opteron/270D-4096||S2S057197||NOP|retired||||5||d91f674a-38c1-437b-9548-9f8d91f81987|historical record
usona10|CSC147||Linux|Ubuntu 10.04 LTS|regular|mhamilton|pierreb|495992|Opteron/270D-4096||S2S057198||CLEAN|retired||||5||2be93980-23df-4120-ab8b-c17883885c48|User needs CUDA and bleeding edge NVIDIA drivers, on  159 so he can sudo
usona11|CSC363?||Windows|XP Pro 5.1.2600|regular||pierreb||Toshiba Satellite 5200||63015776P||NOP|retired||||5||a9166f61-541a-4bc1-aa64-d736b9b628e5|historical record
usona12|CSC363?||Linux|Scientific 4.3 (Beryllium)|regular||pierreb||Acer Aspire||LXAA705104606067B1EM14||NOP|retired||||5||e905384f-a96e-4ddc-9973-a3fae332c991|historical record
utikuma||129.128.29.231|||||||||||NA|retired||T||5||994d5e66-de43-4763-82a5-f7d6555cfd1f|no machine in rack
valhalla|CSC353|129.128.25.66|Linux|Fedora 13|regular|zichen2|jag|473445|Dell P4/3.2G-512||6NFWT41||NOP|active||||5||e7b2f8f4-6774-4ac8-8a02-62b2f54f405f|Fedora 13 - different root password
valleyview|CSC259B1?|129.128.23.118|||unknown||hoover,stroulia||Polycom SP 128||03C655||DIRTY|missing||||5||7970ff4f-56e3-42e0-bb1c-615611b2ca35|Rene - please check
vanrena|CSC231|129.128.22.70|Linux|Rescue|regular|dept|tst|538412|Opteron/DP2376-32768||SM45510||CLEAN|retired|||B|5||2131df8e-945c-4de4-b3ea-eb0f4450756f|to be reused or retired
vanzac|CSC231|129.128.22.58|VMware ESX|3.5.0 Update 5|regular|dept|tst|528930|Opteron/DP250-8192||SM39094||CLEAN|retired|||B|5||bc18efc3-a63b-48ed-8b71-ed6f1178dacf|TST managed server, Reinstalled
veteran||129.128.4.79||||||||||||retired||||5||c74643a4-9370-4a49-a1a2-5fa01b428cdf|
villeneuve|CSC363?|129.128.25.205|||unknown|Gtwy|||AMD64/3700-1024||RH2535110404||NOP|missing||||5||efae1117-42b4-4792-a321-3b3d208f3cfb|On NAT
viking|ATH2-30|129.128.184.56|Linux|Ubuntu 18.04|regular|chuang8|chuang8|no-tag|ASUS||03000200-0400-0500-0006-000700080009||CLEAN|active|||5|||4696acbf-18f6-44b8-8e6c-ead2dd8dca8c|SRIT
vilna||129.128.25.149||||||||||||retired||||5||88d3cf80-5a34-4a53-83ee-09daebbae197|
vimy|CSC251A|129.128.22.59|Linux|CentOS|regular||li|no-tag|Xeon X5550/2.66GHz-49152||SM48986||CLEAN|missing|OK|||5||628749e7-c49c-426f-b74e-c00058811f70|Steve handled
visitor4b|ATH329|129.128.4.223|Linux|WPS Ubuntu 16.04|regular||dept|545608|Dell OptiPlex 990||5117JS1||CLEAN|active|OK|||5||1efa3db0-67fd-42a2-a65f-3d4cc36878d9|
visitor4c|ATH329|129.128.4.224|Linux|WPS Ubuntu 16.04|regular||dept|545583|Dell OptiPlex 990||5129JS1||CLEAN|active|OK|||5||0cdf8045-7a55-4b32-bf28-3bbda3852c62|
voldemort|CSC211|129.128.184.90|Linux|Ubuntu 12.04|regular|burch|burch,bowling|586215|Dell Optiplex 9010 i7-3770@3.4GHz-16384||C14R9Y1||NOP|active||||5||715e8cd3-3606-4f03-b919-ec6f472e7a2a|User Administered
vulcan|ATH219|129.128.23.148|Windows|7|regular|dept|tst||||||CLEAN|retired||||5||9cb530a9-79d3-46b9-8336-707f5767a3e0|
wabasca|CSC211|129.128.184.69|Linux|Ubuntu 16.04|regular|rgreiner|zaiane|704937|Dell Precision 5810 with Titan XP||3LK8HH2||NOP|active||||5||c30970d2-86a1-4e13-96f1-0e374b50cdec|
wam1|CSC301|129.128.25.135|Linux|Ubuntu 14|regular||jag||Quad/1024||||CLEAN|active|OK|||5||ca5615cd-20b5-46d7-94f3-41b307b73c4b|
wam2|CSC301|129.128.25.136|Linux|Ubuntu 14|regular||jag||Quad/3072||||CLEAN|active|OK|||5||7d95fd41-f504-49a8-95ee-db6a0aa99059|
wanham|CSC363A?|129.128.25.222|Windows|98|regular||wfb,pierreb|363128|PII/266-128||A1171||NOP|missing||||5||bd096261-a1d4-4d22-87f7-55a761c3e93b|On NAT
wappau|CSC301|129.128.25.121|||regular||jag||x86-yyy||K43012011GA3TH0||NOP|missing||||5||9fa50afe-fea5-4d73-9207-b15485e94dcc|on private NAT for robot work
warburg|IST VM|129.128.21.205|Linux|Ubuntu 16.04|virtual|||NA|VM||||CLEAN|active||||5|SA1|1d733aae-1f21-4be7-8f24-395863b64ef2|RHN# 1018073815
warner|ATH218|129.128.23.10|Windows|7|regular|gordon||464689|Dell||||CLEAN|active|OK|||5||4961f56f-44d5-4271-9376-11e94c72d313|office machine CSC 218
warspite|CSC225|129.128.23.5|Windows|7|regular||lin,anup|no-tag|XPS,Core2/Q6600-3072||9H80YG1||CLEAN|active|OK|||5||83464f28-0300-4464-881b-b572d8845abb|
wasel|ATH220|129.128.28.253||||||||||||active||||5||5987ced8-7af6-48af-99a1-400fd535fca7|XBone
waskatenau|ATH204|129.128.29.243|||regular|dept|tst||||||CLEAN|retired||||5||6f1010c2-5cc7-47f1-b4f6-0d53a89c0563|
watino|CSC353|129.128.25.175|Linux|Fedora 13|regular|zichen2|jag|444197|Xeon X350qc-4096||serial-no||CLEAN|active||||5||050befc6-fc71-4ced-b618-e862fe1e56d3|Fedora 13 - different root password
waugh||129.128.28.251||||||||||||spare||||5||7d785fbf-9ee0-46e3-8eff-6dda8a21a907|
wawa|CSC353|129.128.25.212|Linux|Ubuntu 14|regular|zichen2|jag|512167|PentD830/3GHz-3072||36W6L81||CLEAN|active|OK|||5||12ed8c25-4b2e-4cfd-9856-d2c842aa73b3|
web1|CSC231|129.128.21.66|Linux|Slackware 12.2.0|regular|dept|tst||Dell PE R200 Xeon-x3210/2.13G-4096||B0PFWG1||CLEAN|retired|||B|5|SA1|a0b4d1cd-89a5-4322-ab3a-07de8a3db9a3|TST managed server was lutose1
web2|CSC231|129.128.21.67|Linux|Slackware 12.2.0|regular|dept|tst||Dell PE R200 Xeon-x3210/2.13G-4096||C0PFWG1||CLEAN|retired|||B|5|SA1|2f6ef1c3-0f70-42a6-9c79-a0b878b13311|TST managed server, was lutose2
webapps-dev|launch-dev|129.128.22.147|Linux|Slackware 12.2.0|alias|dept|gordon||||||CLEAN|retired||||5||5948f650-b1a5-4260-8464-31f9a92f770b|
webapps|IST VM|129.128.21.73|Linux|Ubuntu 16.04|||IApps|NA|VM||||CLEAN|active||||5|SA1|f4c8d300-c84d-4262-b027-08cdb071750d|
